time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:1636000919.649697,digit:4,change:True
time:1636000920.415809,digit:4,change:None
time:1636000921.2525609,digit:3,change:True
time:1636000921.951468,digit:3,change:None
time:1636000922.685005,digit:2,change:True
time:1636000923.378874,digit:2,change:None
time:1636000924.14882,digit:1,change:True
time:1636000924.976618,digit:1,change:None
time:1636000925.9474828,digit:0,change:True
time:1636000926.777889,digit:0,change:None
time:1636000927.5084789,digit:0,change:True
time:1636000927.5084789,digit:1,change:True
time:1636000931.417757,digit:0,change:None
time:1636000931.417757,digit:1,change:None
time:1636000932.7115278,digit:1,change:True
time:1636000932.7115278,digit:2,change:True
time:1636000934.148997,digit:1,change:None
time:1636000934.232814,digit:2,change:None
time:1636000935.505207,digit:0,change:True
time:1636000935.505207,digit:1,change:True
time:1636000935.505207,digit:2,change:True
time:1636000935.505207,digit:3,change:True
time:1636000935.636468,digit:0,change:None
time:1636000935.636468,digit:1,change:None
time:1636000935.636468,digit:2,change:None
time:1636000935.636468,digit:3,change:None
time:0,digit:0,change:0
time:0,digit:1,change:0
time:0,digit:2,change:0
time:0,digit:3,change:0
time:0,digit:4,change:0
time:1636001325.556798,digit:0,change:1
time:1636001325.556798,digit:1,change:1
time:1636001325.556798,digit:2,change:1
time:1636001325.556798,digit:3,change:1
time:1636001325.67245,digit:0,change:0
time:1636001325.67245,digit:1,change:0
time:1636001325.67245,digit:2,change:0
time:1636001325.67245,digit:3,change:0
time:1636001329.313493,digit:3,change:1
time:1636001339.469005,digit:3,change:0
time:1636001341.0495,digit:2,change:1
time:1636001342.581034,digit:2,change:0
time:1636001343.6486568,digit:1,change:1
time:1636001345.109914,digit:1,change:0
time:1636001346.278229,digit:0,change:1
time:1636001348.706764,digit:0,change:0
time:1636001349.739042,digit:4,change:1
time:1636001350.8337002,digit:4,change:0
time:1636001353.942403,digit:0,change:1
time:1636001353.942403,digit:1,change:1
time:1636001353.942403,digit:2,change:1
time:1636001353.942403,digit:3,change:1
time:1636001354.0697038,digit:0,change:0
time:1636001354.0697038,digit:1,change:0
time:1636001354.0697038,digit:2,change:0
time:1636001354.0697038,digit:3,change:0
time:0,digit:0,change:0
time:0,digit:1,change:0
time:0,digit:2,change:0
time:0,digit:3,change:0
time:0,digit:4,change:0
time:0,digit:0,change:0
time:0,digit:1,change:0
time:0,digit:2,change:0
time:0,digit:3,change:0
time:0,digit:4,change:0
time: 1638833123.0924659, hand closed
time:1638833123.0924659,digit:0,change:1
time:1638833123.0924659,digit:1,change:1
time:1638833123.0924659,digit:2,change:1
time:1638833123.0924659,digit:3,change:1
time:1638833123.0924659,digit:4,change:1
time:1638833123.296242,digit:0,change:0
time:1638833123.296242,digit:1,change:0
time:1638833123.296242,digit:2,change:0
time:1638833123.296242,digit:3,change:0
time:1638833123.296242,digit:4,change:0
time: 1638833123.491488, hand closed
time:1638833123.491488,digit:0,change:1
time:1638833123.491488,digit:1,change:1
time:1638833123.491488,digit:2,change:1
time:1638833123.491488,digit:3,change:1
time:1638833123.491488,digit:4,change:1
time:1638833123.6757288,digit:0,change:0
time:1638833123.6757288,digit:1,change:0
time:1638833123.6757288,digit:2,change:0
time:1638833123.6757288,digit:3,change:0
time:1638833123.6757288,digit:4,change:0
time:1638833123.8443751,digit:0,change:1
time:1638833123.8443751,digit:1,change:1
time:1638833123.8443751,digit:2,change:1
time:1638833123.8443751,digit:4,change:1
time:1638833124.049814,digit:0,change:0
time:1638833124.049814,digit:1,change:0
time:1638833124.049814,digit:2,change:0
time:1638833124.049814,digit:4,change:0
time:1638833124.195041,digit:0,change:1
time:1638833124.195041,digit:1,change:1
time:1638833124.195041,digit:2,change:1
time:1638833124.195041,digit:4,change:1
time: 1638833124.3399081, hand closed
time:1638833124.3399081,digit:3,change:1
time:1638833124.610336,digit:0,change:0
time:1638833124.610336,digit:1,change:0
time:1638833124.610336,digit:2,change:0
time:1638833124.610336,digit:3,change:0
time:1638833124.610336,digit:4,change:0
time:1638833129.308209,digit:0,change:1
time:1638833129.308209,digit:1,change:1
time:1638833129.308209,digit:2,change:1
time:1638833129.308209,digit:3,change:1
time:1638833129.4421089,digit:3,change:0
time:1638833129.5302389,digit:0,change:0
time:1638833129.5302389,digit:1,change:0
time:1638833129.5302389,digit:2,change:0
time:1638833129.748317,digit:4,change:1
time:1638833129.938484,digit:4,change:0
time:1638833130.138944,digit:3,change:1
time:1638833130.373661,digit:3,change:0
time:1638833130.742538,digit:0,change:1
time:1638833130.879543,digit:0,change:0
time:1638833131.048966,digit:4,change:1
time:1638833131.2751,digit:4,change:0
time:1638833131.3562539,digit:0,change:1
time:1638833131.463785,digit:0,change:0
time:1638833131.9726348,digit:1,change:1
time:1638833132.111671,digit:1,change:0
time:1638833132.335518,digit:0,change:1
time:1638833132.512716,digit:0,change:0
time:1638833134.901599,digit:4,change:1
time:1638833135.137176,digit:4,change:0
time:1638833135.567189,digit:4,change:1
time:1638833135.661061,digit:4,change:0
time:1638833135.900939,digit:3,change:1
time:1638833136.079652,digit:3,change:0
time:1638833136.4328058,digit:0,change:1
time:1638833136.6141078,digit:0,change:0
time: 1638833140.7560132, hand closed
time:1638833140.7560132,digit:0,change:1
time:1638833140.7560132,digit:1,change:1
time:1638833140.7560132,digit:2,change:1
time:1638833140.7560132,digit:3,change:1
time:1638833140.7560132,digit:4,change:1
time:1638833140.935041,digit:0,change:0
time:1638833140.935041,digit:1,change:0
time:1638833140.935041,digit:2,change:0
time:1638833140.935041,digit:3,change:0
time:1638833140.935041,digit:4,change:0
time: 1638833141.132618, hand closed
time:1638833141.132618,digit:0,change:1
time:1638833141.132618,digit:1,change:1
time:1638833141.132618,digit:2,change:1
time:1638833141.132618,digit:3,change:1
time:1638833141.132618,digit:4,change:1
time:1638833141.329899,digit:0,change:0
time:1638833141.329899,digit:1,change:0
time:1638833141.329899,digit:2,change:0
time:1638833141.329899,digit:3,change:0
time:1638833141.329899,digit:4,change:0
time:1638833141.722243,digit:0,change:1
time:1638833141.722243,digit:1,change:1
time:1638833141.722243,digit:2,change:1
time:1638833141.722243,digit:3,change:1
time:1638833141.9083111,digit:0,change:0
time:1638833141.9083111,digit:1,change:0
time:1638833141.9083111,digit:2,change:0
time:1638833141.9083111,digit:3,change:0
time:1638833142.1585112,digit:0,change:1
time:1638833142.1585112,digit:1,change:1
time:1638833142.1585112,digit:2,change:1
time:1638833142.1585112,digit:4,change:1
time:1638833142.3202748,digit:0,change:0
time:1638833142.3202748,digit:1,change:0
time:1638833142.3202748,digit:2,change:0
time:1638833142.3202748,digit:4,change:0
time:1638833144.371475,digit:0,change:1
time:1638833144.371475,digit:1,change:1
time:1638833144.371475,digit:2,change:1
